mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
5,1,4,0,12,0,11.75,-1.817,6.877,-3.897,0,0,0,0,3,0,1,0,0,4,0.827599,1.447849,0.569887,0.763345,2.317948,0.38062,0.757539,1.864056,3.137103,5.163202,0.917328,0.217158,0.958595,0.099539,3.656834,0.306933,0.662943,2.092503,3.016667,-0.875947,0,0,0
0,0,0,0,0,0,1.158,-1.802,0.114,-3.804,0,0,0,0,0,0,0,0,0,0,0.750515,0.575154,0.739811,0.874498,0.367097,0.606657,0.478262,0.744144,2.81809,1.343492,0.363978,0.220347,0.531609,0.193037,0,0,0.305004,0.171158,1.005713,-0.770833,0,0,1
0,0,0,0,1,0,1.386,-1.389,1.076,-1.408,0,1,0,0,0,0,0,1,0,1,0.452479,0.492833,0.42724,0.451171,0.355952,0.226717,0.376679,0.427801,1.645961,1.012692,0.279815,0.53021,0.326299,0.86357,0.468304,0,0.087123,0,0.225625,-0.041667,0,0,0
1,0,0,0,0,0,1.772,-2.556,3.915,-2.575,0,0,0,1,0,1,0,1,1,0,0.564842,0.521566,0.179235,0.503248,0.249987,0.239154,0.370278,0.884621,1.40796,1.441027,0.312361,1.082541,0.48291,0.778579,0.565247,0.256299,1.026892,0,0.333333,-0.206944,0,0,0
0,1,0,1,0,-4,2.302,-3.264,1.071,-4.201,0,0,0,1,0,0,0,0,1,0,0.894451,0.406402,1.274946,1.023322,0.264173,0.534304,0.24988,0.732984,3.797593,1.517273,1.047461,1.230831,1.283512,0.671113,0,0.243183,0.038477,0.18069,0.041667,-0.425481,0,0,1
1,2,0,2,0,-5,2.488,-4.44,0.079,-5.359,0,0,0,0,0,1,0,0,2,0,0.659895,0.722762,0.678863,0.575065,0.54091,0.305338,0.40699,0.765319,2.779728,1.81007,0.808989,0.477187,2.351883,0.687406,0,0.625116,1.088122,0.686024,0.689963,-3.018502,0,0,0
2,0,0,0,2,0,2.172,-3.881,1.178,-6.595,0,0,0,0,0,0,0,0,0,1,1.399805,0.818548,1.090185,1.199436,0.393236,0.824184,0.538156,0.90729,4.783864,1.718176,0.497931,1.840585,1.1081,0.450734,0,0.00834,1.004891,0,0.816388,-0.75,0,0,1
2,0,2,0,4,0,2.618,-1.37,1.184,-2.41,0,0,0,0,0,0,0,0,0,0,1.203941,0.872144,1.307467,1.289701,0.815093,0.658247,0.600052,0.836763,3.681447,1.743182,0.319018,0.11108,0.731588,0.072489,0.230538,0.771609,0.272375,0,1.595969,0,0,0,1
2,4,1,4,2,-7,4.992,-8.559,3.005,-13.284,1,0,0,1,0,0,0,1,3,1,2.892582,1.745255,2.250632,2.586139,1.313317,1.514116,0.987672,2.340009,9.457809,5.133389,2.625185,0.359003,3.34773,2.025439,0.714774,0.965581,1.857019,1.858675,2.755317,-2.271445,0,0,1
2,0,1,0,2,0,1.561,-4.072,1.122,-5.497,0,0,0,0,0,0,0,0,0,0,1.452003,0.825379,1.443156,1.358482,0.671038,0.811445,0.615716,1.195699,5.297978,1.81051,0.652553,0,0.820059,0.156939,0,0.402847,0.703519,0,0.945623,-0.25,0,0,0
3,2,1,1,2,0,3.446,-2.438,1.536,-4.627,0,1,0,0,1,1,0,1,1,2,0.883805,0.624807,0.971484,0.896481,0.68375,0.56202,0.324429,0.733658,3.495361,1.823366,1.277829,1.090715,0.939704,0.247206,1.56371,0.803516,0.341367,0.28358,0.221528,-1.528963,0,0,1
1,1,0,1,0,-3,1.162,-3.068,1.331,-1.912,1,0,1,1,0,1,0,0,1,0,0.581915,0.305848,0.328033,0.505501,0.288606,0.309988,0.227896,0.812212,1.988933,1.537918,1.201216,0,0.02871,0,0,0,0.527597,0,1.478274,-0.016667,0,0,1
2,0,1,0,2,0,0.715,-2.469,3.125,-1.952,0,0,0,0,0,0,0,0,0,0,0.720895,0.657454,0.513638,0.589153,0.454875,0.277697,0.402473,0.735862,2.719188,2.04826,0.559923,0,0.088092,0.135587,0,0,2.370024,0,1.662066,0,0,0,0
0,0,0,0,0,0,2.105,-2.454,3.159,-5.338,0,0,0,0,0,0,0,0,0,0,1.522588,0.978566,1.487808,1.448148,0.703361,0.796218,0.605125,1.045737,5.312548,2.259123,0.53281,0.919637,1.699765,1.889414,0.607831,0.085781,0.427793,0.400494,0,0,0,0,0
1,0,1,0,3,0,2.245,-1.13,1.707,-1.877,1,1,0,0,1,1,1,1,1,1,0.497095,0.451582,0.6218,0.527218,0.444556,0.302116,0.372378,0.482594,2.252059,1.161653,0.153852,0,0.553062,0,0.384625,0.801964,1.117573,1.247629,2.64411,-0.104167,0,0,0
1,0,0,0,0,0,1.239,-2.142,0.348,-6.056,0,0,0,0,1,0,0,1,0,1,0.722739,0.657401,0.891951,0.70637,0.420904,0.421744,0.523482,0.616819,3.419197,1.554638,0.336642,0.437537,2.660869,0.2724,0,0.341117,0.049374,0.232392,0.315625,-0.333333,0,0,0
1,0,0,0,0,0,0.867,-1.845,0.769,-4.151,0,0,0,0,0,0,1,0,0,0,0.380816,0.239587,0.199755,0.30037,0.153417,0.113344,0.169121,0.206252,1.057723,0.419438,1.184971,0.043601,3.820167,0.167211,0.124434,0,0.453331,0,0,-0.510444,0,0,0
1,0,0,0,1,0,2.081,-2.591,1.114,-2.377,0,0,0,0,0,0,0,1,0,2,0.620237,0.387353,0.347141,0.499927,0.303936,0.354936,0.268473,0.657828,2.303064,1.031443,0.366292,0.972121,1.021512,0,0.14367,0.22377,1.328355,0.245815,0.458333,-0.375,0,0,0
2,2,1,3,3,-9,3.679,-5.922,3.821,-6.09,1,0,2,2,1,2,0,1,2,1,0.927193,0.472121,0.99917,0.768632,0.51257,0.641592,0.420075,0.919517,3.804621,1.669661,1.343452,0.537937,3.022831,0,0.649818,0.732988,0.715765,0,1.540774,-2.835417,0,0,0
0,1,1,1,0,-3,2.984,-3.014,2.982,-8.095,0,0,0,0,1,1,0,0,0,1,1.391831,0.748131,1.783084,1.212587,0.636692,0.746408,0.451495,1.376436,4.455229,2.58425,0.109419,1.916905,4.182023,0,0.729447,0.041455,2.214637,0.09642,0.291667,-1.374405,0,0,0
4,0,4,1,6,0,5.366,-4.055,2.519,-2.684,0,1,0,0,1,0,1,1,0,2,1.545696,0.803633,1.071942,1.207402,0.796679,0.68513,0.53901,0.860182,5.223928,2.287424,0.974357,0.377246,1.581351,0.280056,1.024552,0.235298,0.522239,0.166457,2.09494,-0.375,0,0,0
3,0,0,0,6,0,1.075,-3.334,0.141,-9.375,0,0,0,0,0,0,0,0,0,0,0.959644,0.723263,1.129142,1.008507,0.423499,0.592188,0.414659,0.88336,4.789369,1.751005,1.370352,0.509337,3.05549,0,0.0398,0.395203,0.202974,0.520347,1.393452,-0.25,0,0,1
3,0,1,0,3,-1,4.092,-4.958,0.267,-6.361,0,1,0,0,0,0,0,0,0,0,1.521098,1.376312,1.030315,1.408948,1.113873,0.72724,0.940474,1.458049,4.534009,3.644415,1.895828,0,0.945817,0.068826,0.125975,0.867556,1.482471,0.499372,1.391803,-0.035827,0,0,0
1,1,1,1,3,-2,4.021,-2.889,2.615,-1.569,1,1,0,1,1,0,1,0,1,1,0.669512,0.781085,0.705544,0.594612,0.729015,0.485741,0.541058,0.571679,2.771358,1.969209,0.66833,0.351298,0.210517,0.063325,0.884411,0.637008,0.277001,0,0.128125,-0.655709,0,0,0
2,0,1,1,4,-2,1.335,-4.571,2.539,-1.8,0,0,0,0,1,0,0,1,0,1,0.43589,0.41352,0.477623,0.469977,0.503939,0.517303,0.210846,0.49758,2.005391,1.374774,0.649812,0.599869,0.36299,0,0.707897,1.25988,0.739962,0.243026,1.333333,0,0,0,1
3,1,2,2,4,-3,3.178,-8.071,2.542,-2.08,1,1,1,0,2,0,1,2,1,2,0.887591,0.676177,0.828985,0.816031,0.437492,0.358999,0.500969,0.62378,2.713491,1.274069,0.71549,1.829158,0.973728,0.205499,0.482788,0.537534,0.948911,0.843245,3.017808,-1.422321,0,0,0
1,1,1,0,2,0,0.595,-1.001,0.738,-3.902,0,0,0,0,1,0,0,0,0,1,0.799565,0.436441,0.784515,0.855804,0.21376,0.367036,0.321823,0.403813,2.720021,0.750512,1.419055,0.026273,1.619801,0.256626,0.306671,0,0,0.287435,0.838673,-0.201136,0,0,0
0,0,0,0,2,0,4.492,-2.081,2.291,-2.672,0,1,0,1,1,0,0,3,0,3,0.904463,0.544341,0.893337,0.970279,0.53415,0.453476,0.257421,1.104085,3.591563,1.978484,0.857295,1.469761,0.694826,0.050128,2.163286,0.122929,0.620984,2.19618,0.36875,-1.113988,0,0,0
0,0,0,0,0,0,0.38,-1.651,0.864,-1.176,0,0,0,0,0,0,0,0,0,0,0.445586,0.283623,0.375486,0.49651,0.14687,0.259932,0.171429,0.284694,1.598912,0.632074,0.063952,0.639652,0.088092,0.86399,0.382055,0.335435,0.096256,0,0.1875,-0.676488,0,0,0
0,0,0,0,2,-2,1.742,-5.908,0,-4.049,0,0,0,1,0,1,0,0,1,0,0.7621,0.285215,0.874442,0.688958,0.231017,0.891094,0.305844,0.476746,2.925239,0.620001,0.911329,0.136218,0.82594,0,0,2.370438,0.245888,0.165172,0,-0.458333,0,0,1
2,1,0,1,1,-5,2.539,-7.961,2.384,-8.886,1,0,1,1,0,1,0,0,1,0,1.363658,0.787374,1.808525,1.314594,1.157114,1.136588,0.608568,0.972582,4.940286,2.878335,0.645031,0.478178,1.291118,0.325153,0.859365,2.799877,0.735592,1.167193,0.504203,-1.162888,0,0,0
0,0,0,0,0,-3,1.566,-2.734,1.47,-4.802,1,1,0,1,1,1,0,1,1,1,1.085979,0.785639,0.841442,0.963751,0.540902,0.54894,0.53759,0.780419,3.695471,1.925807,0.656117,1.2611,2.412658,0,0.212135,0.844467,0.886577,0,0.61369,-0.209809,0,0,0
4,2,2,1,10,0,7.849,-8.339,12.397,-7.644,0,2,0,0,2,1,2,2,0,3,2.531467,2.00929,1.807972,2.304489,1.698899,1.325866,1.122704,2.636048,8.691566,5.780767,2.394252,1.61297,0.543468,1.54374,3.624739,1.300761,3.497042,1.472738,1.335491,-0.684375,0,0,0
0,0,0,0,0,0,1.184,-2.911,1.901,-0.67,0,0,0,0,0,0,0,0,0,0,0.650003,0.598528,0.342701,0.499237,0.392928,0.39746,0.308063,0.447329,2.137429,1.211969,0.557932,0,0.122425,1.211315,0.083855,0,0.889705,0.335339,0.0625,-0.166667,3,0,0
1,0,1,0,3,-1,2.269,-6.735,2.189,-2.462,0,2,0,0,1,0,1,1,0,1,0.941497,0.565772,0.590233,0.65469,0.312757,0.790021,0.323427,0.405842,2.99028,0.789009,1.027708,0.851052,0.603274,1.093212,0.607826,0.193409,1.491575,0.447753,3.14814,-0.215064,0,0,0
0,0,0,0,0,0,3.341,-0.819,2.743,-2.867,0,0,0,0,0,0,0,0,0,1,0.786681,0.573284,0.915368,0.810612,0.555674,0.367731,0.308774,0.868705,3.137249,1.839437,0.73979,0.311222,1.035556,0.507483,0,0,0.566956,0,0.375,-0.375,0,0,0
2,1,0,1,0,0,3.356,-5.581,5.908,-2.788,1,1,0,0,0,0,0,0,1,1,1.157891,1.111951,0.921706,1.035406,0.991215,0.56982,0.55209,1.361567,4.593096,3.102696,1.107565,0.13281,0.617212,0.952449,1.203203,0.630072,1.018728,0.737416,0.098214,-0.472182,0,0,0
0,0,0,0,0,0,1.851,-1.591,0.655,-3.204,0,0,0,0,0,0,0,0,0,0,0.469086,0.407518,0.589006,0.499286,0.374744,0.334137,0.29335,0.459203,2.358105,1.129865,1.00932,0.091207,0.973116,0,0.0398,0.087285,0.787335,0,0.5,-0.15625,0,0,1
0,0,1,1,6,-4,1.863,-5.565,1.955,-10.749,2,2,0,0,2,0,2,1,2,2,0.92612,0.665253,0.813709,0.754856,0.326099,0.435769,0.275202,0.938427,3.446126,1.612631,1.416787,0.842236,2.368588,0.156123,0,0.236902,2.589413,0,0.291667,-0.926488,0,0,0
0,0,0,0,0,0,1.087,-1.843,0.141,-1.736,0,0,0,0,0,0,0,0,0,0,0.304251,0.18379,0.164721,0.278196,0.204627,0.202346,0.089913,0.311756,1.126284,0.767678,0.316449,0,0.1744,0.068826,0,0.362404,0,0.166457,0.141667,-0.125,0,0,0
2,0,2,0,0,-1,3.096,-6.444,1.36,-9.949,2,3,0,0,3,0,3,2,0,4,0.99105,0.847134,1.161341,0.864271,0.981531,0.531741,0.401393,1.058935,3.492509,2.176466,1.22375,0.641636,1.772688,0,1.238596,1.276114,1.34246,1.489393,0.927083,-0.385417,0,0,2
2,0,2,0,6,0,4.456,-2.975,7.001,-1.624,0,0,0,0,1,0,0,2,0,1,0.904235,1.18659,0.842581,0.918093,1.64054,0.426387,0.649225,1.525061,3.126477,3.501577,0.593913,0.804458,0.681437,0.15232,1.173641,0.27228,2.830614,0.279412,1.713121,-0.291667,0,0,0
0,1,0,1,0,-2,0.975,-1.964,0.473,-2.504,0,0,0,0,0,0,0,0,0,0,0.785328,0.50363,0.612046,0.730368,0.254212,0.699871,0.284461,0.471999,3.439266,1.310624,0.705501,0.948758,0.514771,0.500988,0.212135,0,0.088494,0.371561,0.16369,-0.4375,0,0,1
2,2,1,2,7,-3,2.265,-5.791,1.821,-5.061,0,0,0,0,0,0,0,0,0,0,1.922,0.425605,1.143108,1.914137,0.315331,1.4224,0.404801,0.545901,5.425857,1.071935,1.265973,0.016633,0.91024,0,0.283914,0.433594,0.64815,0.482686,1.352512,-1.028008,0,0,0
2,0,2,0,5,0,3.477,-1.495,1.322,-5.003,0,0,0,0,0,0,0,0,0,0,1.333892,0.926046,1.239465,1.238286,0.926386,0.625641,0.669295,0.956886,4.086189,2.313626,0.82283,0.23118,1.288174,0.333709,0,0.473591,1.569043,0.399199,2.180488,-0.26875,0,0,0
1,1,0,1,0,0,1.115,-2.052,0.155,-3.789,0,0,0,0,0,0,0,0,0,0,0.809192,0.611457,0.622207,0.670848,0.744955,0.449387,0.475395,0.608082,3.187902,1.503212,0.895096,0.043601,0.547035,0.076222,0,0.114039,0,0.00966,0.73488,-0.291667,2,0,0
1,2,1,1,0,-3,3.284,-5.423,5.69,-13.15,1,1,0,1,0,0,1,1,1,1,2.574604,1.258608,2.151845,2.379551,0.646476,1.44369,0.626971,1.400276,8.152634,2.999969,0.951712,4.257774,2.58835,1.373089,0.868303,0.421598,1.18741,0,0.837485,-1.198864,0,0,0
4,0,3,0,8,0,3.871,-2.424,4.778,-3.378,0,1,0,0,3,0,1,1,0,3,0.921264,1.071599,0.874422,0.883636,0.960634,0.527988,0.585403,1.518996,3.590528,3.425933,0.103241,0.471882,0.088092,0.850364,1.79753,0,0.619486,0.856046,5.918683,-0.416667,0,0,0
0,0,0,0,0,0,0.5,-1.49,0.19,-1.067,0,0,0,0,0,0,0,0,0,0,0.345912,0.182877,0.146097,0.240656,0.163082,0.181656,0.102892,0.21918,0.970184,0.523294,0.262715,0,0,0,0,1.004187,0.160747,0,0,0,0,0,0
3,3,0,3,0,-9,3.318,-7.066,2.051,-13.461,2,1,2,1,0,2,0,0,2,1,2.24765,0.955542,2.125064,1.636463,0.706855,1.045485,0.695141,1.358231,7.15428,2.43269,1.951054,0.403593,2.37353,0.261586,0,0.137121,0.404421,1.394673,1.499107,-1.660417,0,0,1
2,1,0,1,3,-3,2.236,-6.681,0.305,-6.352,0,0,0,0,0,0,0,0,1,0,1.474908,1.084652,1.265188,1.178809,0.689672,1.09862,0.537555,1.164527,6.076757,2.515566,1.965579,0.015862,0.527226,0.213475,0,0.870927,0.35176,0.762686,0.204167,-1.469697,0,0,1
1,0,0,0,0,0,9.115,-2.261,0.95,-3.838,0,0,0,0,0,0,0,0,0,0,1.49867,0.939626,1.515476,1.917624,0.963917,0.645361,0.618004,1.777088,5.825082,3.26474,0.538632,0.214607,0.837776,0.11049,0,0.371545,0.282009,1.613258,0.142857,0,0,0,2
1,2,0,0,0,-2,2.544,-2.227,2.38,-7.403,1,0,0,2,0,0,0,0,2,0,1.659338,0.809543,1.055887,1.249033,0.411975,0.492467,0.302705,0.713843,4.385585,1.63186,0.731201,0.637182,2.208509,1.540502,0.241287,0.528708,0,0,0.315774,-0.333333,0,0,0
0,1,0,0,0,-1,0.38,-2.431,0.234,-1.207,1,0,0,1,0,0,0,0,1,0,0.361401,0.192456,0.225456,0.347613,0.192293,0.349347,0.106191,0.267899,1.550534,0.567393,0.531305,0.087211,0,0,0,0.335765,0,0.15295,0,-0.139583,0,0,1
0,0,0,0,0,0,0.255,-0.969,0.12,-2.142,0,0,1,1,0,0,0,0,2,0,0.25002,0.117363,0.123827,0.223633,0.07125,0.146754,0.049292,0.254952,0.730627,0.41847,0.969134,0,0.157573,0,0,0.030216,0.114211,0.032616,0.347222,-0.041815,0,0,0
3,0,1,0,2,0,2.893,-1.073,2.058,-2.257,0,0,0,0,1,0,0,1,0,2,0.438021,0.717747,0.471777,0.446713,0.544955,0.215733,0.296453,0.508151,1.766042,1.461585,0.229608,0.420329,1.123161,0.608064,0.821921,0.184761,0.342839,0.519566,1.165969,-0.09623,0,0,0
1,1,1,1,2,-2,2.095,-3.464,1.122,-4.853,1,0,0,0,0,0,0,1,1,1,1.300876,0.723623,0.671618,0.901054,0.471585,0.656032,0.541203,0.957861,3.845131,1.67541,3.303731,0.41659,0.357435,0.256471,0.07848,0,1.093504,0.356851,0.745833,-0.5625,0,0,0
3,1,0,1,1,-3,1.371,-9.044,1.714,-10.054,1,1,2,1,1,1,1,1,1,2,1.744218,0.757599,1.277449,1.46102,0.302228,1.23328,0.451253,0.782352,6.418328,1.274605,4.272946,0.386331,1.160313,0.239226,1.401816,0.623245,0.598077,0.105469,1.673909,-0.766667,0,0,3
1,0,1,0,4,0,4.132,-1.646,4.312,-3.744,0,0,0,0,1,0,1,2,0,1,0.755609,0.480627,0.760825,0.625466,0.32427,0.404057,0.352727,0.708498,2.74112,1.450907,0.171299,0.859524,0.232686,0.113674,1.561949,0.455696,0.956192,0.541249,0.725136,0,0,0,0
1,4,1,3,2,-7,7.448,-6.925,2.741,-23.285,2,0,0,3,1,1,0,1,4,3,3.048746,1.336693,2.45536,3.037576,0.97157,1.992556,0.873118,2.048235,10.280146,3.45032,1.534147,2.052508,5.704866,4.396686,1.007966,0.968557,1.747205,2.685221,1.53008,-2.467941,0,0,1
1,2,0,1,1,0,1.388,-11.309,2.253,-4.683,1,1,1,1,1,2,1,1,2,1,0.974007,0.475353,0.843526,0.9186,0.372485,0.635129,0.358033,0.65493,4.336895,1.225731,1.045971,0,0.173679,0.782993,0.58521,0.293832,0.533994,0,0.666456,-0.794792,0,0,1
0,0,0,0,3,-1,2.037,-4.792,0.515,-4.614,1,0,0,0,0,0,1,0,1,0,0.877735,0.449749,0.778978,0.866343,0.367462,0.351091,0.485082,0.601075,2.891292,1.03862,1.590156,0.436162,1.394906,0.595665,0,0.283087,1.324015,0.09642,0.48955,-0.193997,0,0,1
0,0,0,0,0,0,1.08,-1.145,0.447,-1.128,0,2,0,1,1,0,0,0,0,1,0.292733,0.160371,0.175306,0.263684,0.079451,0.158605,0.131014,0.172446,1.064316,0.315617,0.359916,0.680505,0,0,0,0.057564,0.681994,0,0.234375,-0.125,0,0,0
2,0,1,0,3,0,3.758,-1.952,1.298,-2.785,0,1,0,0,1,0,0,0,0,1,0.705929,0.668003,0.386962,0.509983,0.640638,0.345356,0.306707,0.784123,1.973149,1.916851,0.530275,0,1.565702,0.426049,2.257226,0.579947,0.043454,0.872658,0.629762,0,0,0,0
1,0,0,0,1,0,3.639,-3.361,6.355,-2.527,0,0,0,0,0,0,0,0,1,0,1.543472,1.109833,1.320752,1.352104,0.904031,0.714977,0.607802,1.400466,5.21609,3.188709,0.557049,1.204932,0.485364,0.225996,2.190019,0.704923,1.766608,0.117511,0.920433,-0.125,0,0,0
0,0,0,0,4,-1,8.306,-2.941,10.326,-4.385,0,0,1,0,2,1,0,0,0,2,1.294184,1.364749,0.842943,1.112329,1.670551,0.713274,0.642368,2.069061,4.502542,4.554675,0.724176,0.310007,1.478793,0.29719,4.429916,4.91911,0.277308,2.062845,0.57313,-0.0625,0,0,0
1,0,2,0,3,0,2.062,-2.281,0.604,-4.728,0,0,0,0,0,0,0,0,0,1,0.81231,0.834068,0.373759,0.736442,0.445541,0.301766,0.41894,1.495751,2.158748,2.31475,0.587297,0.924441,1.042962,1.545599,0.267325,0.175826,0.845573,3.917592,0.760268,-0.125,0,0,0
1,2,0,2,1,-5,2.465,-7.195,0.567,-7.976,1,0,1,0,0,1,0,0,2,1,1.533876,0.827915,1.431284,1.46476,0.463998,1.358355,0.346406,0.933313,5.169362,2.195018,2.982294,0,1.095721,0.260105,0.143124,1.095934,0.00592,0.166457,0.283333,-2.114583,0,0,1
6,3,2,3,10,-5,7.515,-12.919,5.24,-7.833,2,2,3,4,3,4,1,4,4,3,1.95202,2.476728,1.353757,1.53221,2.944822,1.040338,1.104137,3.247922,6.946628,6.485022,1.200653,0.365676,2.908987,1.367256,2.186843,2.087543,1.54462,2.647703,1.664484,-1.386939,0,0,1
2,0,1,1,2,-3,2.915,-1.747,0.24,-3.79,0,0,0,1,0,1,0,1,1,1,0.485115,0.509059,0.478063,0.439561,0.449581,0.213662,0.246306,0.575271,1.802196,1.686532,0.267205,0.612123,1.515347,0.555308,0.401479,0.492573,0.025421,0.425232,1.143435,-0.358333,0,0,0
0,0,0,0,0,0,1.255,-0.999,0.457,-1.973,0,0,0,0,0,0,0,0,0,0,0.357061,0.395316,0.421504,0.378131,0.257272,0.275771,0.235477,0.456661,1.510191,0.939259,0,0.227418,0.227664,0.576755,0.519237,0.105699,0.173928,0.065538,0.34375,-0.420833,0,0,0
1,4,2,3,6,-8,3.125,-8.079,4.294,-4.528,0,0,0,0,1,2,0,0,2,1,1.646155,0.846553,1.546875,1.569551,0.654874,1.509387,0.559035,1.009614,5.798861,2.41043,0.348829,1.035397,1.54703,0.316058,2.074368,3.199501,1.323602,0,0.5,-3.356052,0,0,0
2,0,2,0,5,0,8.996,-4.579,2.993,-8.393,0,0,0,0,2,0,0,0,0,2,1.685356,1.308937,1.175729,2.140033,1.105409,0.906009,0.959149,1.38378,5.395902,3.495491,0.849284,1.104762,0.382223,1.271879,2.058839,0.449715,0.204459,0.874569,1.475,-1.542614,0,0,0
